1st high freq antenna,2nd high freq antenna,3rd high freq antenna,Signal classification
0.42267,-0.54487,0.18641,g
-0.16626,-0.06288,-0.13738,b
0.60436,-0.2418,0.56045,g
0.25682,1,-0.32382,b
-0.05707,-0.59573,-0.04608,g
0,0,-0.00039,b
-0.04262,-0.81318,-0.13832,g
1,1,0,b
0.45114,-0.72779,0.38895,g
0.16595,0.24086,-0.08208,b
0.30996,-0.89093,0.22995,g
1,-1,1,b
0.68714,-0.64537,0.64727,g
1,0.88428,1,b
1,0.32492,1,g
1,0.23188,0,b
0.77122,0.1593,0.70941,g
-1,-1,1,b
0.40663,0.25792,1,g
1,1,1,b
0.80448,-0.40575,0.74354,g
-1,1,-1,b
0.5131,-0.00015,0.52099,g
-1,1,0,b
0.54356,-0.26284,0.64207,g
1,-1,1,b
0.32984,-0.92128,-0.13341,g
0,0,-1,b
0.64358,1,0.52479,g
-1,1,1,b
1,-0.75761,1,g
1,1,1,b
0.47075,-0.57377,0.42189,g
0.86136,-0.87354,-0.23186,b
1,0.53372,1,g
1,0.65268,1,b
0.83777,-0.20101,0.83867,g
1,1,0,b
0.70925,0.10754,0.65258,g
0.38352,0.14677,1,b
0.11372,0.72688,0.0699,g
1,1,0,b
0.06927,0.55061,0.12137,g
1,-1,1,b
0.54752,-0.80278,0.49195,g
1,0,0,b
0.77919,-0.47977,0.75115,g
-0.09634,0.20477,-0.06117,b
0.76911,-0.23095,0.74323,g
0,0,0,b
0.84463,-0.25706,0.93323,g
0,0,0,b
1,-0.34686,1,g
-1,1,1,b
0.83951,-0.39061,0.82166,g
-1,-1,-1,b
0.78479,-0.22765,0.73992,g
0,0,-1,b
0.78324,0.29576,0.83574,g
0,0,0,b
0.56791,0.47033,0.54252,g
0,0,1,b
0.33921,0.66844,0.22101,g
0.20614,-1,1,b
0.4397,0.19849,0.51382,g
1,0.22464,1,b
0.94578,-0.22021,0.80355,g
0,0,1,b
0.9357,-0.35222,0.98816,g
1,-1,1,b
0.74389,0.85611,0.71493,g
0,0,1,b
0.13756,0.86835,0.09048,g
0,0,0,b
0.47027,0.71689,0.33381,g
0,0,1,b
0.45312,0.63636,0.40442,g
-1,-1,-1,b
-0.1737,1,-0.81383,g
1,-1,-1,b
1,-0.78555,1,g
1,1,1,b
0.02735,0.77072,-0.04023,g
-0.04585,0.07064,-0.04013,b
0.59024,-0.14053,0.56361,g
0.39118,0.13521,0.34411,b
0.86415,0.03774,0.73208,g
0.48927,0.14643,1,b
0.45098,0.23529,0.43137,g
-0.02916,-0.07464,-0.00526,b
0.43026,0.70923,0.52361,g
-0.21354,-0.7817,-0.18494,b
0.64348,-0.25217,0.50435,g
0.02399,0.5582,0.52632,b
0.70798,-0.01868,0.39559,g
-1,0.1286,0,b
-0.71475,-0.05525,-0.67699,g
-0.67289,-0.33662,-0.59943,g
1,-1,0,b
0.59759,0.14697,0.57455,g
1,-1,0,b
0.96436,-0.22561,0.87011,g
0,0,0,b
0.89095,-0.31857,0.69531,g
0.16288,-0.70076,0,b
1,-0.4074,1,g
0,0,0,b
0.80253,-0.25741,0.76586,g
0,0,0,b
1,-1,0.30445,g
0,0,0,b
-0.54866,-0.19923,-0.42912,g
0,0,0,b
-0.51251,-0.44505,-0.37432,g
0,0,0,b
0.16997,-0.02034,0.14694,g
0.27869,-0.44262,0.4918,b
0.60715,0.16465,0.5884,g
-0.54891,-0.29915,0.25441,b
1,-0.15609,1,g
0.12727,-0.36364,0.29091,b
1,0.43396,0.43396,g
-0.66667,-0.04762,0.2619,b
0.58333,-0.3125,0.33333,g
0,0,0,b
0.23405,0.3962,0.18632,g
0.87757,0.81007,0.81979,b
1,-0.10797,0.93144,g
0.04447,0.61881,0,b
1,-0.03855,0.9842,g
1,-0.25946,0.28919,b
0.19512,0,0.17073,g
1,-1,0,b
-0.34694,0,-0.26531,g
1,-1,0,b
-0.44118,-0.50735,-0.28676,g
0.18301,0.02614,-0.40201,b
0.46667,0.03333,0.41667,g
0,0.00015,-8E-05,b
0.72973,-0.59459,0.51351,g
-1,-0.1875,-1,b
0.95434,-0.0341,0.95838,g
1,-0.63156,1,b
-0.00012,-0.00012,-8E-05,g
0.43137,-0.21569,0.47059,b
-0.00089,-0.00408,0.00025,g
-0.03125,0,0,b
1,0.02703,1,g
1,0.87317,1,b
1,0.09091,0.97861,g
-0.27104,-0.31228,0.40445,b
0.6,0.16667,0.63333,g
0.04469,0,0.04749,b
0.46059,-0.22535,0.50376,g
0.02586,0.01149,-0.04598,b
0.82956,0.02956,0.79015,g
-0.02568,-0.01854,-0.01427,b
0.24868,-0.24339,0.2672,g
0.09611,-0.07323,0.1167,b
0.02742,0.54479,-0.21572,g
-0.01693,-0.02398,0.00705,b
0.73936,-0.01942,0.79089,g
-1,1,-1,b
0.19667,0.66315,-0.11215,g
-0.94375,1,0,b
0.23529,0.90196,-0.11765,g
-1,-1,-1,b
0.22222,1,-0.55556,g
0,0,0,b
0.69635,0.29074,0.67493,g
-1,-1,0,b
0.88889,-0.11111,1,g
1,1,0,b
1,-0.27273,1,g
0.18182,-0.02273,0.17045,b
1,0.35294,1,g
0.74468,0.90426,-0.67553,b
0.70833,0,0.70833,g
0.02564,-0.04808,0.16827,b
0.24117,-0.88846,0.29221,g
0.35088,0.20175,0.82895,b
0.15657,-0.51329,0.18353,g
